countryiso3code,date,value
ATG,1996.0,187.895
ATG,1997.0,185.891
ATG,1998.0,183.993
ATG,1999.0,182.095
ATG,2000.0,180.197
ATG,2001.0,178.299
ATG,2002.0,176.401
ATG,2003.0,174.606
ATG,2004.0,172.811
ATG,2005.0,171.016
ATG,2006.0,169.222
ATG,2007.0,167.427
ATG,2008.0,165.5
ATG,2009.0,163.573
ATG,2010.0,161.646
ATG,2011.0,159.719
ATG,2012.0,157.793
ATG,2013.0,156.198
ATG,2014.0,154.604
ATG,2015.0,153.01
ATG,2016.0,151.416
ATG,2017.0,149.822
ATG,2018.0,126.917
ATG,2019.0,125.741
ATG,2020.0,0.0
AUS,1990.0,123.906
AUS,1991.0,118.763
AUS,1992.0,116.61
AUS,1993.0,112.772
AUS,1994.0,112.33
AUS,1995.0,108.979
AUS,1996.0,107.832
AUS,1997.0,104.411
AUS,1998.0,103.662
AUS,1999.0,101.033
AUS,2000.0,97.967
AUS,2001.0,93.793
AUS,2002.0,90.811
AUS,2003.0,89.052
AUS,2004.0,86.332
AUS,2005.0,85.447
AUS,2006.0,82.945
AUS,2007.0,84.729
AUS,2008.0,81.993
AUS,2009.0,81.768
AUS,2010.0,78.634
AUS,2011.0,78.281
AUS,2012.0,75.68
AUS,2013.0,75.444
AUS,2014.0,76.85
AUS,2015.0,78.264
AUS,2016.0,75.835
AUS,2017.0,74.463
AUS,2018.0,73.167
AUS,2019.0,0.0
AUS,2020.0,0.0
AUT,1990.0,155.102
AUT,1991.0,157.686
AUT,1992.0,152.976
AUT,1993.0,149.83
AUT,1994.0,145.837
AUT,1995.0,145.169
AUT,1996.0,140.538
AUT,1997.0,135.068
AUT,1998.0,131.611
AUT,1999.0,125.913
AUT,2000.0,126.568
AUT,2001.0,122.892
AUT,2002.0,120.026
AUT,2003.0,115.817
AUT,2004.0,114.612
AUT,2005.0,111.759
AUT,2006.0,105.344
AUT,2007.0,104.253
AUT,2008.0,99.617
AUT,2009.0,103.061
AUT,2010.0,100.315
AUT,2011.0,94.356
AUT,2012.0,91.335
AUT,2013.0,89.369
AUT,2014.0,85.621
AUT,2015.0,84.688
AUT,2016.0,80.37
AUT,2017.0,79.032
AUT,2018.0,0.0
AUT,2019.0,0.0
AUT,2020.0,0.0
AZE,1990.0,244.356
AZE,1991.0,252.116
AZE,1992.0,259.875
AZE,1993.0,256.187
AZE,1994.0,252.499
AZE,1995.0,248.811
AZE,1996.0,245.123
AZE,1997.0,241.434
AZE,1998.0,234.596
AZE,1999.0,227.758
AZE,2000.0,220.92
AZE,2001.0,214.082
AZE,2002.0,207.244
AZE,2003.0,204.095
AZE,2004.0,200.946
AZE,2005.0,197.796
AZE,2006.0,194.647
AZE,2007.0,191.498
AZE,2008.0,188.489
AZE,2009.0,185.48
AZE,2010.0,182.472
AZE,2011.0,179.463
AZE,2012.0,176.454
AZE,2013.0,171.228
AZE,2014.0,166.001
AZE,2015.0,160.775
AZE,2016.0,155.549
AZE,2017.0,150.322
AZE,2018.0,149.499
AZE,2019.0,148.676
AZE,2020.0,0.0
BDI,1990.0,398.541
BDI,1991.0,402.043
BDI,1992.0,405.546
BDI,1993.0,400.644
BDI,1994.0,395.742
BDI,1995.0,390.841
BDI,1996.0,385.939
BDI,1997.0,381.037
BDI,1998.0,381.319
BDI,1999.0,381.601
BDI,2000.0,381.883
BDI,2001.0,382.164
BDI,2002.0,382.446
BDI,2003.0,379.054
BDI,2004.0,375.662
BDI,2005.0,372.271
BDI,2006.0,368.879
BDI,2007.0,365.487
BDI,2008.0,359.547
BDI,2009.0,353.606
BDI,2010.0,347.666
BDI,2011.0,341.726
BDI,2012.0,335.786
BDI,2013.0,331.579
BDI,2014.0,327.373
BDI,2015.0,323.166
BDI,2016.0,318.96
BDI,2017.0,314.753
BDI,2018.0,310.651
BDI,2019.0,306.56
BDI,2020.0,0.0
BEL,1990.0,138.666
BEL,1991.0,138.318
BEL,1992.0,135.539
BEL,1993.0,136.689
BEL,1994.0,136.48
BEL,1995.0,136.966
BEL,1996.0,132.434
BEL,1997.0,131.229
BEL,1998.0,129.023
BEL,1999.0,131.877
BEL,2000.0,130.497
BEL,2001.0,128.037
BEL,2002.0,124.715
BEL,2003.0,122.423
BEL,2004.0,116.535
BEL,2005.0,114.317
BEL,2006.0,110.936
BEL,2007.0,109.277
BEL,2008.0,111.631
BEL,2009.0,107.237
BEL,2010.0,102.029
BEL,2011.0,100.338
BEL,2012.0,98.967
BEL,2013.0,94.257
BEL,2014.0,91.363
BEL,2015.0,89.305
BEL,2016.0,86.08
BEL,2017.0,82.796
BEL,2018.0,80.262
BEL,2019.0,0.0
BEL,2020.0,0.0
BEN,1990.0,313.065
BEN,1991.0,302.975
BEN,1992.0,292.885
BEN,1993.0,298.047
BEN,1994.0,303.209
BEN,1995.0,308.371
BEN,1996.0,313.533
BEN,1997.0,318.695
BEN,1998.0,317.305
BEN,1999.0,315.915
BEN,2000.0,314.525
BEN,2001.0,313.135
BEN,2002.0,311.746
BEN,2003.0,306.42
BEN,2004.0,301.095
BEN,2005.0,295.77
BEN,2006.0,290.445
BEN,2007.0,285.12
BEN,2008.0,283.036
BEN,2009.0,280.953
BEN,2010.0,278.869
BEN,2011.0,276.786
BEN,2012.0,274.702
BEN,2013.0,271.907
BEN,2014.0,269.111
BEN,2015.0,266.315
BEN,2016.0,263.52
BEN,2017.0,260.724
BEN,2018.0,258.647
BEN,2019.0,255.706
BEN,2020.0,0.0
BFA,1990.0,354.602
BFA,1991.0,357.941
BFA,1992.0,361.28
BFA,1993.0,363.839
BFA,1994.0,366.398
BFA,1995.0,368.957
BFA,1996.0,371.516
BFA,1997.0,374.075
BFA,1998.0,369.035
BFA,1999.0,363.995
BFA,2000.0,358.956
BFA,2001.0,353.916
BFA,2002.0,348.876
BFA,2003.0,341.156
BFA,2004.0,333.435
BFA,2005.0,325.715
BFA,2006.0,317.995
BFA,2007.0,310.275
BFA,2008.0,305.532
BFA,2009.0,300.79
BFA,2010.0,296.047
BFA,2011.0,291.305
BFA,2012.0,286.562
BFA,2013.0,282.184
BFA,2014.0,277.806
BFA,2015.0,273.429
BFA,2016.0,269.051
BFA,2017.0,264.673
BFA,2018.0,260.379
BFA,2019.0,256.075
BFA,2020.0,0.0
BGD,1990.0,196.571
BGD,1991.0,194.732
BGD,1992.0,192.894
BGD,1993.0,190.703
BGD,1994.0,188.513
BGD,1995.0,186.322
BGD,1996.0,184.132
BGD,1997.0,181.942
BGD,1998.0,179.861
BGD,1999.0,177.781
BGD,2000.0,175.701
BGD,2001.0,173.621
BGD,2002.0,171.541
BGD,2003.0,169.974
BGD,2004.0,168.407
BGD,2005.0,166.841
BGD,2006.0,165.274
BGD,2007.0,163.707
BGD,2008.0,162.277
BGD,2009.0,160.847
BGD,2010.0,159.417
BGD,2011.0,157.988
BGD,2012.0,156.558
BGD,2013.0,154.386
BGD,2014.0,152.214
BGD,2015.0,150.041
BGD,2016.0,147.869
BGD,2017.0,145.697
BGD,2018.0,151.411
BGD,2019.0,149.24
BGD,2020.0,0.0
BGR,1990.0,219.412
BGR,1991.0,212.446
BGR,1992.0,229.642
BGR,1993.0,240.227
BGR,1994.0,246.715
BGR,1995.0,245.658
BGR,1996.0,238.023
BGR,1997.0,244.071
BGR,1998.0,241.483
BGR,1999.0,222.457
BGR,2000.0,225.005
BGR,2001.0,222.768
BGR,2002.0,218.165
BGR,2003.0,215.846
BGR,2004.0,215.996
BGR,2005.0,219.427
BGR,2006.0,218.686
BGR,2007.0,212.03
BGR,2008.0,208.154
BGR,2009.0,203.75
BGR,2010.0,196.902
BGR,2011.0,194.111
BGR,2012.0,187.916
BGR,2013.0,184.811
BGR,2014.0,190.232
BGR,2015.0,185.528
BGR,2016.0,187.257
BGR,2017.0,183.956
BGR,2018.0,0.0
BGR,2019.0,0.0
BGR,2020.0,0.0
BHR,1990.0,128.222
BHR,1991.0,125.144
BHR,1992.0,122.066
BHR,1993.0,119.172
BHR,1994.0,116.278
BHR,1995.0,113.384
BHR,1996.0,110.49
BHR,1997.0,107.596
BHR,1998.0,104.639
BHR,1999.0,101.682
BHR,2000.0,98.726
BHR,2001.0,95.769
BHR,2002.0,92.812
BHR,2003.0,90.633
BHR,2004.0,88.455
BHR,2005.0,86.276
BHR,2006.0,84.097
BHR,2007.0,81.919
BHR,2008.0,81.023
BHR,2009.0,80.127
BHR,2010.0,79.231
BHR,2011.0,78.336
BHR,2012.0,77.44
BHR,2013.0,76.45
BHR,2014.0,75.461
BHR,2015.0,74.471
BHR,2016.0,73.481
BHR,2017.0,72.491
BHR,2018.0,72.073
BHR,2019.0,71.223
BHR,2020.0,0.0
BHS,1990.0,259.672
BHS,1991.0,258.316
BHS,1992.0,256.96
BHS,1993.0,255.59
BHS,1994.0,254.22
BHS,1995.0,252.85
BHS,1996.0,251.48
BHS,1997.0,250.11
BHS,1998.0,246.29
BHS,1999.0,242.469
BHS,2000.0,238.648
BHS,2001.0,234.827
BHS,2002.0,231.007
BHS,2003.0,228.17
BHS,2004.0,225.333
BHS,2005.0,222.497
BHS,2006.0,219.66
BHS,2007.0,216.823
BHS,2008.0,214.281
BHS,2009.0,211.739
BHS,2010.0,209.197
BHS,2011.0,206.655
BHS,2012.0,204.113
BHS,2013.0,202.214
BHS,2014.0,200.314
BHS,2015.0,198.415
BHS,2016.0,196.516
BHS,2017.0,194.617
BHS,2018.0,193.627
BHS,2019.0,192.399
BHS,2020.0,0.0
BIH,1990.0,225.431
BIH,1991.0,236.553
BIH,1992.0,247.675
BIH,1993.0,232.518
BIH,1994.0,217.362
BIH,1995.0,202.206
BIH,1996.0,187.049
BIH,1997.0,171.893
BIH,1998.0,168.29
BIH,1999.0,164.687
BIH,2000.0,161.084
BIH,2001.0,157.481
BIH,2002.0,153.878
BIH,2003.0,151.408
BIH,2004.0,148.939
BIH,2005.0,146.47
BIH,2006.0,144.001
BIH,2007.0,141.531
BIH,2008.0,139.815
BIH,2009.0,138.099
BIH,2010.0,136.382
BIH,2011.0,134.666
BIH,2012.0,132.95
BIH,2013.0,131.082
BIH,2014.0,129.214
BIH,2015.0,127.346
BIH,2016.0,125.478
BIH,2017.0,123.61
BIH,2018.0,115.278
BIH,2019.0,113.706
BIH,2020.0,0.0
BLR,1990.0,281.951
BLR,1991.0,294.245
BLR,1992.0,310.855
BLR,1993.0,343.266
BLR,1994.0,348.399
BLR,1995.0,363.728
BLR,1996.0,358.553
BLR,1997.0,360.641
BLR,1998.0,370.602
BLR,1999.0,375.925
BLR,2000.0,354.094
BLR,2001.0,369.56
BLR,2002.0,383.421
BLR,2003.0,372.783
BLR,2004.0,362.612
BLR,2005.0,369.192
BLR,2006.0,355.849
BLR,2007.0,332.936
BLR,2008.0,334.107
BLR,2009.0,330.003
BLR,2010.0,334.194
BLR,2011.0,336.426
BLR,2012.0,287.27
BLR,2013.0,273.671
BLR,2014.0,261.217
BLR,2015.0,245.384
BLR,2016.0,234.903
BLR,2017.0,227.765
BLR,2018.0,231.323
BLR,2019.0,0.0
BLR,2020.0,0.0
BLZ,1990.0,186.187
BLZ,1991.0,194.065
BLZ,1992.0,201.944
BLZ,1993.0,208.259
BLZ,1994.0,214.574
BLZ,1995.0,220.889
BLZ,1996.0,227.205
BLZ,1997.0,233.52
BLZ,1998.0,235.972
BLZ,1999.0,238.424
BLZ,2000.0,240.876
BLZ,2001.0,243.328
BLZ,2002.0,245.78
BLZ,2003.0,241.688
BLZ,2004.0,237.596
BLZ,2005.0,233.504
BLZ,2006.0,229.412
BLZ,2007.0,225.32
BLZ,2008.0,225.59
BLZ,2009.0,225.86
BLZ,2010.0,226.13
BLZ,2011.0,226.4
BLZ,2012.0,226.67
BLZ,2013.0,224.562
BLZ,2014.0,222.454
BLZ,2015.0,220.346
BLZ,2016.0,218.238
